Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5wujBwqG7INdStqGd4tRMX,"Armed And Dangerous","Goodbye & Good Riddance","Juice WRLD",2018-12-10,169999,77,true,21opbfqensrqobjzl3lumijsy,2022-03-23T20:48:52Z,"melodic rap,emo rap","Juice WRLD Mixtape / ISR P&D",0.736,0.67,10,-6.702,1,0.311,0.186,0,0.114,0.845,130.032,4
spotify:track:13ZyrkCDmRz5xY3seuAWYk,"Hear Me Calling","Death Race For Love","Juice WRLD",2019-03-08,189977,1,true,21opbfqensrqobjzl3lumijsy,2022-03-23T20:49:13Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.699,0.687,7,-3.997,0,0.106,0.308,0.0000363,0.121,0.499,88.932,4
spotify:track:6MjNilJCVKJq0LfFvo5jWJ,"Fast","Death Race For Love","Juice WRLD",2019-03-08,208517,2,true,21opbfqensrqobjzl3lumijsy,2022-03-23T20:49:34Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.623,0.608,1,-5.937,0,0.0434,0.426,0,0.105,0.263,84.98,4
spotify:track:6kls8cSlUyHW2BUOkDJIZE,"Hate Me (with Juice WRLD)","Hate Me (with Juice WRLD)","Ellie Goulding;Juice WRLD",2019-06-26,186223,72,false,21opbfqensrqobjzl3lumijsy,2022-03-23T20:49:38Z,"melodic rap,emo rap","Polydor Records",0.657,0.768,8,-4.628,1,0.0507,0.108,0,0.144,0.759,75.025,4
spotify:track:6rz0dTA0PdhXImFV5EjM0w,"Hide (feat. Seezyn)","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)","Juice WRLD;Seezyn",2018-12-14,205800,76,false,21opbfqensrqobjzl3lumijsy,2022-03-23T20:51:55Z,"melodic rap,emo rap","Universal Records",0.715,0.638,5,-5.017,0,0.0751,0.0616,0,0.157,0.151,149.999,4
spotify:track:1a7WZZZH7LzyvorhpOJFTe,"Wasted (feat. Lil Uzi Vert)","Goodbye & Good Riddance","Juice WRLD;Lil Uzi Vert",2018-12-10,258475,77,true,21opbfqensrqobjzl3lumijsy,2022-03-23T20:56:44Z,"melodic rap,emo rap,rage rap","Juice WRLD Mixtape / ISR P&D",0.742,0.579,0,-5.024,1,0.202,0.0381,0,0.0952,0.502,144.994,4
spotify:track:1Knctxx9vGZxpZfF66BIEa,"Legends","Legends","Juice WRLD",2018-06-22,191840,69,true,21opbfqensrqobjzl3lumijsy,2022-03-23T20:57:03Z,"melodic rap,emo rap","Juice WRLD / Interscope PS",0.594,0.798,4,-5.244,1,0.0844,0.115,0,0.143,0.381,142.049,4
spotify:track:3L19besdNQzd342qL78xqm,"Demons and Angels (feat. Juice WRLD)","Hoodie SZN","A Boogie Wit da Hoodie;Juice WRLD",2018-12-21,214592,69,true,21opbfqensrqobjzl3lumijsy,2022-03-23T20:58:51Z,"melodic rap,emo rap","Highbridge the Label / Atlantic Records",0.81,0.55,2,-7.46,0,0.17,0.0114,0.00000569,0.107,0.183,76.503,4
spotify:track:5YAP8zpqj1eIX88makBjDe,"Roses (with Juice WRLD feat. Brendon Urie)","Roses (with Juice WRLD feat. Brendon Urie)","benny blanco;Juice WRLD;Brendon Urie",2018-12-05,223542,62,true,21opbfqensrqobjzl3lumijsy,2022-03-23T20:59:01Z,"melodic rap,emo rap","Friends Keep Secrets/Interscope Records",0.613,0.6,8,-7.097,1,0.154,0.166,0,0.117,0.532,147.059,4
spotify:track:6QNFQJKlZUKr0xlGZ74CZJ,"Rich And Blind","Rich And Blind","Juice WRLD",2018-06-22,228720,63,true,21opbfqensrqobjzl3lumijsy,2022-03-23T21:01:26Z,"melodic rap,emo rap","Juice WRLD / Interscope PS",0.638,0.624,10,-5.37,1,0.0798,0.0102,0,0.0944,0.445,159.937,4
